Date,Total_Value_At_Close,Cash_At_Open
4/21/2026,100000,0
4/22/2026,99762.32,100000
4/23/2026,98939.022,99762.32
4/24/2026,99385.262,98939.022
4/27/2026,99186.895,99385.262
4/28/2026,98270.354,99186.895
4/29/2026,98070.464,98270.354
4/30/2026,100396.313,98070.464
5/1/2026,100531.377,100396.313
5/4/2026,99279.692,100531.377
5/5/2026,100393.744,99279.692
5/6/2026,101759.554,100393.744
5/7/2026,100004.726,101759.554
5/8/2026,101245.45,100004.726
5/11/2026,101047.42,101245.45
5/12/2026,101114.34,101047.42
5/13/2026,104370.171,101114.34
5/14/2026,103483.055,104370.171
5/15/2026,101719.436,103483.055
5/18/2026,100045.905,101719.436
5/19/2026,98499.248,100045.905
5/20/2026,98839.968,98499.248
5/21/2026,98349.952,98839.968
5/22/2026,99405.247,98349.952
5/26/2026,98712.535,99405.247
5/27/2026,97516.602,98712.535
5/28/2026,98062.892,97516.602
5/29/2026,98068.195,98062.892
6/1/2026,99599.602,98068.195
6/2/2026,100406.982,99599.602
6/3/2026,100130.888,100406.982
6/4/2026,99814.028,100130.888
6/5/2026,95467.562,99814.028
6/8/2026,95171.696,95467.562
6/9/2026,93504.262,95171.696
6/10/2026,91968.711,93504.262
6/11/2026,91871.508,91968.711
6/12/2026,92652.179,91871.508
6/15/2026,92383.187,92652.179
6/16/2026,91845.89,92383.187
6/17/2026,89952.861,91845.89
6/18/2026,89700.931,89952.861
6/22/2026,90958.109,89700.931
6/23/2026,91176.221,90958.109
6/24/2026,90601.687,91176.221
6/25/2026,93327.076,90601.687
6/26/2026,94951.251,93327.076
6/29/2026,95050.746,94951.251
06/30/2026,93843.675,95050.746
07/01/2026,94605.743,93843.675
07/02/2026,93232.757,94605.743
07/03/2026,93232.757,93232.757
07/06/2026,93387.581,93232.757
07/07/2026,93187.21,93387.581
07/08/2026,90820.323,93187.21
07/09/2026,91114.319,90820.323
07/10/2026,91226.243,91114.319
07/13/2026,91609.745,91226.243
07/14/2026,91169.515,91609.745
07/15/2026,90489.007,91169.515
07/16/2026,92254.806,90489.007
07/17/2026,91448.422,92254.806
07/20/2026,91147.469,91448.422
07/21/2026,91569.856,91147.469
07/22/2026,91420.307,91569.856
07/23/2026,91343.721,91420.307
07/24/2026,92493.483,91343.721
07/27/2026,93249.857,92493.483
07/28/2026,95052.4,93249.857
07/29/2026,95745.563,95052.4
07/30/2026,93637.759,95745.563
07/31/2026,93204.201,93637.759
08/03/2026,92733.241,93204.201
08/04/2026,92795.503,92733.241
08/05/2026,92616.488,92795.503
08/06/2026,93400.463,92616.488
08/07/2026,93391.447,93400.463
08/10/2026,93483.725,93391.447
08/11/2026,93550.541,93483.725
08/12/2026,93588.286,93550.541
08/13/2026,93899.55,93588.286
