Date,Total_Value_At_Close,Cash_At_Open
1/20/2025,100000,0
1/21/2025,100385.645,100000
1/22/2025,99790.232,100385.645
1/23/2025,100050.509,99790.232
1/24/2025,100525.523,100050.509
1/27/2025,97994.749,100525.523
1/28/2025,99698.874,97994.749
1/29/2025,97781.538,99698.874
1/30/2025,101313.502,97781.538
1/31/2025,100531.619,101313.502
2/3/2025,100924.204,100531.619
2/4/2025,101476.125,100924.204
2/5/2025,102474.507,101476.125
2/6/2025,101511.131,102474.507
2/7/2025,101743.87,101511.131
2/10/2025,102721.351,101743.87
2/11/2025,102487.351,102721.351
2/12/2025,102172.343,102487.351
2/13/2025,102659.842,102172.343
2/14/2025,105755.231,102659.842
2/18/2025,106102.003,105755.231
2/19/2025,105333.757,106102.003
2/20/2025,103053.497,105333.757
2/21/2025,102242.997,103053.497
2/24/2025,102864.066,102242.997
2/25/2025,103738.621,102864.066
2/26/2025,102837.771,103738.621
2/27/2025,103001.379,102837.771
2/28/2025,104174.555,103001.379
3/3/2025,104818.335,104174.555
3/4/2025,103366.699,104818.335
3/5/2025,103891.672,103366.699
3/6/2025,103422.101,103891.672
3/7/2025,104728.479,103422.101
3/10/2025,103756.485,104728.479
3/11/2025,100201.75,103756.485
3/12/2025,97466.661,100201.75
3/13/2025,97615.071,97466.661
3/14/2025,97624.45,97615.071
3/17/2025,99243.309,97624.45
3/18/2025,98752.671,99243.309
3/19/2025,97455.657,98752.671
3/20/2025,97976.739,97455.657
3/21/2025,97420.904,97976.739
3/24/2025,97449.907,97420.904
3/25/2025,97818.713,97449.907
3/26/2025,98227.205,97818.713
3/27/2025,98363.117,98227.205
3/28/2025,97675.823,98363.117
3/31/2025,98564,97675.823
4/1/2025,98992.283,98564
4/2/2025,99098.959,98992.283
4/3/2025,100360.359,99098.959
4/4/2025,95112.073,100360.359
4/7/2025,93276.482,95112.073
4/8/2025,92479.552,93276.482
4/9/2025,97897.398,92479.552
4/10/2025,96710.901,97897.398
4/11/2025,97623.113,96710.901
4/14/2025,98661.398,97623.113
4/15/2025,97815.219,98661.398
4/16/2025,96853.588,97815.219
4/17/2025,90915.222,96853.588
4/21/2025,89610.144,90915.222
4/22/2025,92018.214,89610.144
4/23/2025,92083.677,92018.214
4/24/2025,95932.593,92083.677
4/25/2025,94916.046,95932.593
4/28/2025,95294.049,94916.046
4/29/2025,94807.685,95294.049
4/30/2025,94565.806,94807.685
5/1/2025,93353.025,94565.806
5/2/2025,94441.039,93353.025
5/5/2025,94959.801,94441.039
5/6/2025,95228.262,94959.801
5/7/2025,96702.365,95228.262
5/8/2025,95050.896,96702.365
5/9/2025,95912.48,95050.896
5/12/2025,96088.162,95912.48
5/13/2025,95677.825,96088.162
5/14/2025,95273.408,95677.825
5/15/2025,95984.122,95273.408
5/16/2025,97178.003,95984.122
5/19/2025,97015.811,97178.003
5/20/2025,97595.427,97015.811
5/21/2025,96225.069,97595.427
5/22/2025,94222.844,96225.069
5/23/2025,94376.668,94222.844
5/27/2025,97169.951,94376.668
5/28/2025,96350.896,97169.951
5/29/2025,96517.349,96350.896
5/30/2025,96450.386,96517.349
6/2/2025,97434.952,96450.386
6/3/2025,97699.863,97434.952
6/4/2025,97944.007,97699.863
6/5/2025,98012.03,97944.007
6/6/2025,99192.332,98012.03
6/9/2025,98507.84,99192.332
6/10/2025,96937.423,98507.84
6/11/2025,97647.092,96937.423
6/12/2025,97277.625,97647.092
6/13/2025,98261.876,97277.625
6/16/2025,99270.299,98261.876
6/17/2025,99500.014,99270.299
6/18/2025,99531.602,99500.014
6/20/2025,98783.332,99531.602
6/23/2025,99747.942,98783.332
6/24/2025,98602.789,99747.942
6/25/2025,99936.197,98602.789
6/26/2025,101119.942,99936.197
6/27/2025,101600.086,101119.942
6/30/2025,102279.452,101600.086
7/1/2025,100923.255,102279.452
7/2/2025,101455.596,100923.255
7/3/2025,101252.522,101455.596
7/7/2025,100546.888,101252.522
7/8/2025,99436.305,100546.888
7/9/2025,99683.312,99436.305
7/10/2025,99767.464,99683.312
7/11/2025,99620.288,99767.464
7/14/2025,99351.303,99620.288
