Date,Total_Value_At_Close,Cash_At_Open
2025-01-28,100000,0
2025-01-29,99469.15,100000
2025-01-30,100888.5,99469.15
2025-01-31,99955.68,100888.5
2025-02-03,99447.85,99955.68
2025-02-04,99843.49,99447.85
2025-02-05,100551.8,99843.49
2025-02-06,100306.5,100551.8
2025-02-07,99799.26,100306.5
2025-02-10,100083.7,99799.26
2025-02-11,100092.9,100083.7
2025-02-12,100287.7,100092.9
2025-02-13,101421.1,100287.7
2025-02-14,101654.7,101421.1
2025-02-18,101885.8,101654.7
2025-02-19,101662.2,101885.8
2025-02-20,100871,101662.2
2025-02-21,99374.67,100871
2025-02-24,99425.8,99374.67
2025-02-25,99294.71,99425.8
2025-02-26,98844.5,99294.71
2025-02-27,98594.79,98844.5
2025-02-28,99807.14,98594.79
2025-03-03,100133.8,99807.14
2025-03-04,98174.92,100133.8
2025-03-05,98271.45,98174.92
2025-03-06,97510.91,98271.45
2025-03-07,98387.35,97510.91
2025-03-10,98239.65,98387.35
2025-03-11,96340.97,98239.65
2025-03-12,94645.18,96340.97
2025-03-13,94837.94,94645.18
2025-03-14,95624.29,94837.94
2025-03-17,96884.46,95624.29
2025-03-18,96679.33,96884.46
2025-03-19,96250.96,96679.33
2025-03-20,96270.19,96250.96
2025-03-21,95728.64,96270.19
2025-03-24,95808.88,95728.64
2025-03-25,95678.93,95808.88
2025-03-26,95742.2,95678.93
2025-03-27,95959.49,95742.2
2025-03-28,95477.42,95959.49
2025-03-31,96421.25,95477.42
2025-04-01,96419.14,96421.25
2025-04-02,96381.05,96419.14
2025-04-03,95897.67,96381.05
2025-04-04,90777.61,95897.67
2025-04-07,89603.09,90777.61
2025-04-08,87878.56,89603.09
2025-04-09,94788.77,87878.56
2025-04-10,94396.27,94788.77
2025-04-11,95488.67,94396.27
2025-04-14,96212.49,95488.67
2025-04-15,95494.61,96212.49
2025-04-16,95143.54,95494.61
2025-04-17,94222.63,95143.54
2025-04-21,93205,94222.63
2025-04-22,94082.25,93205
2025-04-23,94116.59,94082.25
