Date,Total_Value_At_Close,Cash_At_Open
1/28/2025,100000,0
1/29/2025,99469.15,100000
1/30/2025,100888.5,99469.15
1/31/2025,99955.68,100888.5
2/3/2025,99447.85,99955.68
2/4/2025,99843.49,99447.85
2/5/2025,100551.8,99843.49
2/6/2025,100306.5,100551.8
2/7/2025,99799.26,100306.5
2/10/2025,100083.7,99799.26
2/11/2025,100092.9,100083.7
2/12/2025,100287.7,100092.9
2/13/2025,101421.1,100287.7
2/14/2025,101654.7,101421.1
2/18/2025,101885.8,101654.7
2/19/2025,101662.2,101885.8
2/20/2025,100871,101662.2
2/21/2025,99374.67,100871
2/24/2025,99425.8,99374.67
2/25/2025,99294.71,99425.8
2/26/2025,98844.5,99294.71
2/27/2025,98594.79,98844.5
2/28/2025,99807.14,98594.79
3/3/2025,100133.8,99807.14
3/4/2025,98174.92,100133.8
3/5/2025,98271.45,98174.92
3/6/2025,97510.91,98271.45
3/7/2025,98387.35,97510.91
3/10/2025,98239.65,98387.35
3/11/2025,96340.97,98239.65
3/12/2025,94645.18,96340.97
3/13/2025,94837.94,94645.18
3/14/2025,95624.29,94837.94
3/17/2025,96884.46,95624.29
3/18/2025,96679.33,96884.46
3/19/2025,96250.96,96679.33
3/20/2025,96270.19,96250.96
3/21/2025,95728.64,96270.19
3/24/2025,95808.88,95728.64
3/25/2025,95678.93,95808.88
3/26/2025,95742.2,95678.93
3/27/2025,95959.49,95742.2
3/28/2025,95477.42,95959.49
3/31/2025,96421.25,95477.42
4/1/2025,96419.14,96421.25
4/2/2025,96381.05,96419.14
4/3/2025,95897.67,96381.05
4/4/2025,90777.61,95897.67
4/7/2025,89603.09,90777.61
4/8/2025,87878.56,89603.09
4/9/2025,94788.77,87878.56
4/10/2025,94396.27,94788.77
4/11/2025,95488.67,94396.27
4/14/2025,96212.49,95488.67
4/15/2025,95494.61,96212.49
4/16/2025,95143.54,95494.61
4/17/2025,94222.63,95143.54
4/21/2025,93205,94222.63
4/22/2025,94082.25,93205
4/23/2025,94116.59,94082.25
4/24/2025,95370.18,94116.59
4/25/2025,95687.5,95370.18
4/28/2025,95831.96,95687.5
4/29/2025,96617.95,95831.96
4/30/2025,96751.79,96617.95
5/1/2025,96612.04,96751.79
5/2/2025,98121.86,96612.04
5/5/2025,98205.03,98121.86
5/6/2025,97886.01,98205.03
5/7/2025,98491.97,97886.01
5/8/2025,98820.42,98491.97
5/9/2025,98742.69,98820.42
5/12/2025,101084.5,98742.69
5/13/2025,102115.5,101084.5
5/14/2025,101866.2,102115.5
5/15/2025,102279.6,101866.2
5/16/2025,103093.6,102279.6
5/19/2025,103048.9,103093.6
5/20/2025,102684.1,103048.9
5/21/2025,100612.4,102684.1
5/22/2025,100581.8,100612.4
5/23/2025,99975.26,100581.8
5/27/2025,102160.1,99975.26
5/28/2025,101352.5,102160.1
5/29/2025,101265.5,101352.5
5/30/2025,101340.7,101265.5
6/2/2025,101513.1,101340.7
6/3/2025,102492,101513.1
6/4/2025,102387.7,102492
6/5/2025,102348.2,102387.7
6/6/2025,103121.9,102348.2
6/9/2025,103134.7,103121.9
6/10/2025,103492.2,103134.7
6/11/2025,104148.7,103492.2
6/12/2025,104147.5,104148.7
6/13/2025,103357.9,104147.5
6/16/2025,104914.4,103357.9
6/17/2025,104192.4,104914.4
6/18/2025,104385.2,104192.4
6/20/2025,104441.6,104385.2
6/23/2025,105058.9,104441.6
6/24/2025,105970,105058.9
6/25/2025,105842,105970
6/26/2025,107070.6,105842
6/27/2025,107573.2,107070.6
6/30/2025,108234.6,107573.2
7/1/2025,108381.2,108234.6
7/2/2025,109671,108381.2
7/3/2025,110626,109671
7/7/2025,109761.8,110626
7/8/2025,109818.3,109761.8
7/9/2025,110339.1,109818.3
7/10/2025,111310.1,110339.1
7/11/2025,110770.9,111310.1
7/14/2025,110618.8,110770.9
7/15/2025,109429.9,110618.8
7/16/2025,109726.7,109429.9
7/17/2025,111072.5,109726.7
7/18/2025,111418.1,111072.5
7/21/2025,111121,111418.1
7/22/2025,111822.4,111121
7/23/2025,113408.4,111822.4
7/24/2025,112966.8,113408.4
7/25/2025,114043.6,112966.8
7/28/2025,113648.5,114043.6
7/29/2025,113527.2,113648.5
7/30/2025,113305.9,113527.2
7/31/2025,111947.3,113305.9
8/1/2025,110521.7,111947.3
8/4/2025,112256.7,110521.7
8/5/2025,111856.1,112256.7
8/6/2025,111483,111856.1
8/7/2025,111224.1,111483
8/8/2025,111364.3,111224.1
8/11/2025,111054.5,111364.3
8/12/2025,112470.3,111054.5
8/13/2025,113256.2,112470.3
8/14/2025,112257.3,113256.2
8/15/2025,111667.9,112257.3
8/18/2025,111517.8,111667.9
8/19/2025,111635.9,111517.8
8/20/2025,110945.7,111635.9
8/21/2025,110495.2,110945.7
8/22/2025,112551.4,110495.2
8/25/2025,112068.5,112551.4
8/26/2025,111980.5,112068.5
