Date,Total_Value_At_Close,Cash_At_Open
1/28/2025,100000,0
1/29/2025,99438.346,100000
1/30/2025,100870.686,99438.346
1/31/2025,99937.937,100870.686
2/3/2025,99416.045,99937.937
2/4/2025,99827.463,99416.045
2/5/2025,100537.951,99827.463
2/6/2025,100265.378,100537.951
2/7/2025,99756.02,100265.378
2/10/2025,100050.565,99756.02
2/11/2025,100063.005,100050.565
2/12/2025,100304.939,100063.005
2/13/2025,101463.162,100304.939
2/14/2025,101734.001,101463.162
2/18/2025,101921.726,101734.001
2/19/2025,101709.982,101921.726
2/20/2025,100908.461,101709.982
2/21/2025,99358.371,100908.461
2/24/2025,99383.586,99358.371
2/25/2025,99231.43,99383.586
2/26/2025,98785.726,99231.43
2/27/2025,98531.347,98785.726
2/28/2025,99745.113,98531.347
3/3/2025,100045.718,99745.113
3/4/2025,98069.519,100045.718
3/5/2025,98158.535,98069.519
3/6/2025,97410.002,98158.535
3/7/2025,98290.575,97410.002
3/10/2025,98130.535,98290.575
3/11/2025,96207.033,98130.535
3/12/2025,94511.264,96207.033
3/13/2025,94708.835,94511.264
3/14/2025,95482.674,94708.835
3/17/2025,96790.235,95482.674
3/18/2025,96587.954,96790.235
3/19/2025,96136.59,96587.954
3/20/2025,96151.756,96136.59
3/21/2025,95592.948,96151.756
3/24/2025,95668.216,95592.948
3/25/2025,95551.777,95668.216
3/26/2025,95577.078,95551.777
3/27/2025,95726.749,95577.078
3/28/2025,95253.588,95726.749
3/31/2025,96186.22,95253.588
4/1/2025,96164.145,96186.22
4/2/2025,96140.669,96164.145
4/3/2025,95526.417,96140.669
4/4/2025,90517.939,95526.417
4/7/2025,89315.459,90517.939
4/8/2025,87654.543,89315.459
4/9/2025,94522.369,87654.543
4/10/2025,94116.425,94522.369
4/11/2025,95103.307,94116.425
4/14/2025,95734.538,95103.307
4/15/2025,95034.917,95734.538
4/16/2025,94707.466,95034.917
4/17/2025,93846.805,94707.466
4/21/2025,92885.403,93846.805
4/22/2025,93674.67,92885.403
4/23/2025,93781.589,93674.67
4/24/2025,94938.432,93781.589
4/25/2025,95268.432,94938.432
4/28/2025,95418.828,95268.432
4/29/2025,96206.391,95418.828
4/30/2025,96340.56,96206.391
5/1/2025,96232.427,96340.56
5/2/2025,97780.96,96232.427
5/5/2025,97862.147,97780.96
5/6/2025,97541.317,97862.147
5/7/2025,98162.319,97541.317
5/8/2025,98533.942,98162.319
5/9/2025,98462.918,98533.942
5/12/2025,100837.425,98462.918
5/13/2025,101887.795,100837.425
5/14/2025,101645.067,101887.795
5/15/2025,102051.551,101645.067
5/16/2025,102860.581,102051.551
5/19/2025,102810.644,102860.581
5/20/2025,102450.211,102810.644
5/21/2025,100390.524,102450.211
5/22/2025,100376.227,100390.524
5/23/2025,99782.559,100376.227
5/27/2025,101975.009,99782.559
5/28/2025,101157.911,101975.009
5/29/2025,101067.652,101157.911
5/30/2025,101129.638,101067.652
6/2/2025,101300.41,101129.638
6/3/2025,102293.289,101300.41
6/4/2025,102197.517,102293.289
6/5/2025,102157.387,102197.517
6/6/2025,102939.042,102157.387
6/9/2025,102945.693,102939.042
6/10/2025,103314.092,102945.693
6/11/2025,103257.704,103314.092
6/12/2025,103247.072,103257.704
6/13/2025,102515.234,103247.072
6/16/2025,104061.83,102515.234
6/17/2025,103409.013,104061.83
6/18/2025,103603.058,103409.013
6/20/2025,103575.647,103603.058
6/23/2025,104187.004,103575.647
6/24/2025,105122.174,104187.004
6/25/2025,104989.225,105122.174
6/26/2025,106231.249,104989.225
6/27/2025,106723.881,106231.249
6/30/2025,107398.724,106723.881
7/1/2025,107515.759,107398.724
7/2/2025,108813.031,107515.759
7/3/2025,109799.083,108813.031
7/7/2025,108943.922,109799.083
7/8/2025,109008.087,108943.922
7/9/2025,109517.311,109008.087
7/10/2025,110475.883,109517.311
7/11/2025,109935.763,110475.883
7/14/2025,109790.083,109935.763
7/15/2025,108641.089,109790.083
7/16/2025,108926.471,108641.089
7/17/2025,110263.418,108926.471
7/18/2025,110579.693,110263.418
7/21/2025,110278.546,110579.693
7/22/2025,110959.997,110278.546
7/23/2025,112538.256,110959.997
7/24/2025,112078.875,112538.256
7/25/2025,113175.87,112078.875
7/28/2025,112925.556,113175.87
7/29/2025,112798.396,112925.556
